id	LAT	LON
349190600	215541,324504	500019,981172
349190650	152129,404722	571465,034523
349200628	153448,811803	573186,378781
349200660	196903,911747	621911,549590
349210670	208075,985145	699589,235900
349220690	183026,811041	742033,793965
350150500	341954,018004	274286,836336
350150510	323862,523308	270006,442472
350160520	288256,455542	330629,028779
350170530	307165,024754	427091,350614
350180540	244074,541489	442100,650679
350190550	327289,224513	506514,856633
350190560	263707,559566	502336,644098
350190566	246199,358341	557359,706537
350200570	328433,334238	619186,188550
350200575	304119,724154	344302,490967
350210585	317925,957906	691737,110413
350220580	253719,076787	717442,181630
350230595	322973,181304	796932,156567
351150400	457231,646153	261155,084622
351160415	373235,417543	304938,406977
351160418	443897,885572	330201,230352
351160424	361713,693765	353022,451659
351180435	429689,128126	436481,934969
351180455	371599,708106	469041,661806
351190469	387766,821438	560312,647205
351210488	413975,980830	676185,065525
351220495	377719,676918	736915,234048
351230497	419371,811762	813865,656925
352140310	507104,927510	201796,266399
352150300	548217,567773	248793,732950
352160330	481570,967765	476788,818924
352180345	481632,386938	476865,022656
352190360	524976,283413	549157,884432
352200375	479221,362932	634095,764748
352220385	484409,725952	721755,960333
352230399	478131,969495	816563,831245
353140200	683686,654604	187760,951425
353140205	623395,510007	209102,008827
353150210	662293,692134	263819,840620
353160230	587329,776214	349511,587970
353170235	651057,355579	403183,067618
353180250	575249,183640	472892,095246
353200270	582957,841258	591094,941969
353200272	656926,832199	593656,309698
353210280	661414,799093	670468,714478
353230295	590528,105011	778483,767106
354150100	705361,221998	264312,250175
354160105	708202,013280	314524,354132
354160115	749283,643454	361384,642350
354170120	766537,701298	405726,562121
354170125	743992,396681	417473,209855
354180135	748883,424871	487855,713022
354180155	718804,664815	495666,317200
354190160	706672,540021	535431,890483
354210185	692108,774995	655031,384139
354220195	703484,868654	757894,109026
