"","V1","V2","V3","V4"
"1",98,98,98,98
"2",92,94,96,98
"3",88,91,93,95
"4",98,98,98,98
"5",98,98,98,98
"6",98,98,98,98
"7",84,89,92,94
"8",84,89,92,94
"9",84,89,92,94
"10",61,75,83,87
"11",61,75,83,87
"12",72,81,88,91
"13",75,83,89,92
"14",75,83,89,92
"15",72,81,88,91
"16",72,81,88,91
"17",49,69,78,84
"18",67,78,85,89
"19",67,78,85,89
"20",55,72,80,86
"21",30,55,70,77
"22",30,55,70,77
"23",30,55,70,77
"24",49,69,78,84
"25",49,69,78,84
"26",49,69,78,84
"27",36,60,73,79
"28",30,58,71,78
"29",78,86,91,93
"30",49,69,78,84
"31",49,69,78,84
"32",100,100,100,100
"33",30,58,71,78
"34",30,58,71,78
"35",30,58,71,78
"36",49,69,78,84
"37",30,58,71,78
"38",100,100,100,100
"39",100,100,100,100
"40",100,100,100,100
"41",100,100,100,100
"42",100,100,100,100
"43",100,100,100,100
"44",100,100,100,100
