Name,Województwo
Pilski,Zachodniopomorskie
Kołobrzeski,Zachodniopomorskie
Gryfiński,Zachodniopomorskie
Wałecki,Zachodniopomorskie
Słupski,Zachodniopomorskie
Złotowski,Zachodniopomorskie
Stargardzki,Zachodniopomorskie
Choszczeński,Zachodniopomorskie
Sławieński,Zachodniopomorskie
Świdwiński,Zachodniopomorskie
Czarnkowsko-Trzcianecki,Zachodniopomorskie
Szczecin,Zachodniopomorskie
Goleniowski,Zachodniopomorskie
Pyrzycki,Zachodniopomorskie
Koszaliński,Zachodniopomorskie
Kamieński,Zachodniopomorskie
Bytowski,Zachodniopomorskie
Świnoujście,Zachodniopomorskie
Drawski,Zachodniopomorskie
Koszalin,Zachodniopomorskie
Strzelecko-Drezdenecki,Zachodniopomorskie
Łobeski,Zachodniopomorskie
Gryficki,Zachodniopomorskie
Gorzowski,Zachodniopomorskie
Człuchowski,Zachodniopomorskie
Myśliborski,Zachodniopomorskie
Szczecinecki,Zachodniopomorskie
Policki,Zachodniopomorskie
Białogardzki,Zachodniopomorskie
Krośnieński,Lubuskie
Wschowski,Lubuskie
Międzyrzecki,Lubuskie
Nowotomyski,Lubuskie
Głogowski,Lubuskie
Nowosolski,Lubuskie
Wolsztyński,Lubuskie
Zgorzelecki,Lubuskie
Zielonogórski,Lubuskie
Górowski,Lubuskie
Bolesławiecki,Lubuskie
Gorzów Wielkopolski,Lubuskie
Polkowicki,Lubuskie
Żagański,Lubuskie
Międzychodzki,Lubuskie
Zielona Góra,Lubuskie
Słubicki,Lubuskie
Leszczyński,Lubuskie
Świebodziński,Lubuskie
Sulęciński,Lubuskie
Żarski,Lubuskie
Złotoryjski,Dolnośląskie
Wrocławski,Dolnośląskie
Milicki,Dolnośląskie
Lubiński,Dolnośląskie
Ostrzeszowski,Dolnośląskie
Rawicki,Dolnośląskie
Wrocław,Dolnośląskie
Krotoszyński,Dolnośląskie
Trzebnicki,Dolnośląskie
Średzki,Dolnośląskie
Oławski,Dolnośląskie
Kępiński,Dolnośląskie
Jaworski,Dolnośląskie
